City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,xuddur,4.1213,43.8894,21.98,82,70,4.77,SO,1670283952
139,pochutla,15.7432,-96.4661,23.5,68,0,1.65,MX,1670284066
140,kruisfontein,-34.0033,24.7314,14.38,83,35,3.46,ZA,1670284067
141,jiblah,13.9216,44.1467,12.74,64,3,0.94,YE,1670284067
142,codrington,-38.2667,141.9667,15.08,63,18,4.49,AU,1670284067
143,coronel bogado,-27.1833,-56.3,31.27,56,7,2.46,PY,1670284068
144,cayenne,4.9333,-52.3333,25.02,94,0,0.51,GF,1670284059
145,gavrilovka vtoraya,52.877,42.7663,-8.97,55,17,1.65,RU,1670284069
146,lakes entrance,-37.8811,147.981,15.59,63,83,4.67,AU,1670284069
147,maba,24.6841,113.5984,7.7,82,97,1.51,CN,1670284069
148,nkhotakota,-12.9274,34.2961,25.54,65,97,2.02,MW,1670284070
149,vila velha,-20.3297,-40.2925,23.97,90,0,5.14,BR,1670284070
150,san juan,-31.5375,-68.5364,31.44,21,33,4.48,AR,1670284071
151,torbay,47.6666,-52.7314,4.04,96,100,0.0,CA,1670284071
152,broome,42.2506,-75.833,3.44,63,0,3.6,US,1670284072
153,muros,42.7762,-9.0603,11.49,91,100,1.24,ES,1670283345
154,qena,26.1615,32.7183,16.54,59,0,4.26,EG,1670284072
155,severo-kurilsk,50.6789,156.125,-3.85,73,96,9.04,RU,1670284073
156,amuntai,-2.4177,115.2494,25.84,86,90,0.22,ID,1670284073
157,uige,-7.6087,15.0613,18.38,98,100,1.05,AO,1670284074
158,santa isabel do rio negro,-0.4139,-65.0192,24.97,87,84,0.87,BR,1670284074
159,kapaa,22.0752,-159.319,23.99,90,57,0.89,US,1670284074
160,tura,25.5198,90.2201,15.08,85,0,1.69,IN,1670283687
161,camana,-16.6228,-72.7111,20.28,79,91,2.4,PE,1670284075
162,qaanaaq,77.484,-69.3632,1.31,74,100,7.83,GL,1670283905
163,strezhevoy,60.7333,77.5889,-12.96,96,99,3.6,RU,1670284075
164,norman wells,65.282,-126.8329,-27.98,76,20,6.17,CA,1670283938
165,dukat,62.55,155.55,-27.37,98,100,2.03,RU,1670284076
166,ust-kuyga,70.0167,135.6,-37.37,100,95,1.48,RU,1670284076
167,thompson,55.7435,-97.8558,-28.91,69,20,4.12,CA,1670283923
168,cornelio procopio,-23.1811,-50.6467,20.13,93,84,0.51,BR,1670284077
169,muravlenko,63.7898,74.523,-15.89,97,97,4.84,RU,1670284078
170,lompoc,34.6391,-120.4579,17.23,68,0,5.66,US,1670284078
171,gouyave,12.1646,-61.7296,25.43,78,20,1.54,GD,1670284079
